,girl_id,grade,partner_id,partner_id_2,ws_1,ws_2,ws_3,ws_4,ws_5,ws_6,ws_7,ws_8,ws9_1,ws9_2,ws9_3,ws9_4,ws9_5,special_workshop_preference
0,70,7,,,12,1,2,13,14,15,7,11,,,,,,
1,72,8,,,5,20,7,14,3,16,1,8,,,,,,
2,73,8,,,16,5,7,14,19,3,4,10,,,,,,
3,74,8,,,22,11,9,7,12,19,20,3,,,,,,
4,77,7,,,11,22,19,14,3,7,4,18,,,,,,
5,78,8,,,22,6,3,8,9,7,19,14,,,,,,
6,79,7,,,16,14,5,11,8,18,4,3,,,,,,
7,80,8,,,5,11,16,10,17,4,14,18,,,,,,
8,81,7,,,21,7,4,3,13,9,22,11,,,,,,
9,82,7,,,11,13,20,3,5,12,15,18,,,,,,
10,83,7,334.0,,3,6,7,11,13,17,19,21,,,,,,
11,85,8,,,22,16,21,9,15,5,3,17,,,,,,
12,86,7,476.0,,7,11,4,3,8,9,10,13,,,,,,
13,90,7,122.0,,19,11,21,4,7,17,20,6,,,,,,
14,91,8,,,2,22,7,10,21,4,6,17,,,,,,
15,92,7,275.0,,4,7,10,11,14,17,19,21,,,,,,
16,95,8,,,22,4,17,13,10,18,19,14,,,,,,
17,96,10,,,3,21,0,0,0,0,0,0,26.0,28.0,0.0,0.0,0.0,no_preference
18,98,7,,,14,3,19,16,18,7,5,8,,,,,,
19,99,7,,,5,19,21,3,4,14,0,0,,,,,,
20,100,7,101.0,102.0,12,5,15,7,8,4,9,3,,,,,,
21,101,7,100.0,102.0,12,5,15,7,8,4,9,3,,,,,,
22,102,7,100.0,101.0,12,5,15,7,8,4,9,3,,,,,,
23,103,7,,,3,7,11,14,8,19,1,5,,,,,,
24,104,7,133.0,,2,4,9,6,19,1,17,8,,,,,,
25,105,7,120.0,121.0,9,1,2,6,19,11,22,20,,,,,,
26,106,7,136.0,,3,14,21,22,12,20,11,7,,,,,,
27,107,8,,,4,9,14,13,19,22,12,15,,,,,,
28,108,7,123.0,125.0,7,19,20,4,6,11,5,10,,,,,,
29,109,7,128.0,129.0,7,22,3,9,4,5,6,10,,,,,,
30,110,8,116.0,117.0,9,7,3,18,10,16,19,8,,,,,,
31,112,8,137.0,,14,5,19,8,18,3,10,6,,,,,,
32,113,7,126.0,147.0,12,19,17,20,7,18,4,15,,,,,,
33,115,8,,,17,5,6,11,7,12,19,22,,,,,,
34,116,7,117.0,110.0,9,7,3,18,10,16,19,8,,,,,,
35,117,7,116.0,110.0,9,7,3,18,10,16,19,8,,,,,,
36,118,7,157.0,159.0,19,8,9,17,7,10,6,3,,,,,,
37,119,8,175.0,,3,4,8,19,11,18,22,21,,,,,,
38,120,7,121.0,105.0,9,1,2,6,19,11,22,20,,,,,,
39,121,7,120.0,105.0,9,1,2,6,19,11,22,20,,,,,,
40,122,7,90.0,,19,11,21,4,7,17,20,6,,,,,,
41,123,7,125.0,108.0,7,19,20,4,6,11,5,10,,,,,,
42,124,8,,,10,19,4,5,17,22,8,16,,,,,,
43,125,7,123.0,108.0,7,19,20,4,6,11,5,10,,,,,,
44,126,7,147.0,113.0,12,19,17,20,7,18,4,15,,,,,,
45,127,7,171.0,,2,5,6,9,13,17,19,21,,,,,,
46,128,8,129.0,109.0,7,22,3,9,4,5,6,10,,,,,,
47,129,8,128.0,109.0,7,22,3,9,4,5,6,10,,,,,,
48,130,7,148.0,151.0,19,6,21,12,2,17,4,1,,,,,,
49,131,8,134.0,,21,17,5,14,10,4,2,16,,,,,,
50,133,7,104.0,,2,4,9,6,19,1,17,8,,,,,,
51,134,8,131.0,,21,17,5,14,10,4,2,16,,,,,,
52,135,8,138.0,,9,11,16,8,14,6,20,15,,,,,,
53,136,7,106.0,,3,14,21,22,12,20,11,7,,,,,,
54,137,8,112.0,,14,5,19,8,18,3,10,6,,,,,,
55,138,7,135.0,,9,11,16,8,14,6,20,15,,,,,,
56,139,7,141.0,,22,19,4,16,8,14,11,13,,,,,,
57,140,8,,,4,3,16,10,17,13,8,15,,,,,,
58,141,7,139.0,,22,19,4,16,8,14,11,13,,,,,,
59,142,8,144.0,,17,19,20,7,8,21,13,18,,,,,,
60,144,8,142.0,,17,19,20,7,8,21,13,18,,,,,,
61,146,10,,,19,4,11,13,18,9,3,10,24.0,27.0,25.0,29.0,30.0,no_preference
62,147,7,126.0,113.0,12,19,17,20,7,18,4,15,,,,,,
63,148,7,130.0,151.0,19,6,21,12,2,17,4,1,,,,,,
64,149,8,,,4,14,16,20,2,7,15,1,,,,,,
65,150,7,,,21,3,7,16,19,2,4,11,,,,,,
66,151,7,130.0,148.0,19,6,21,12,2,17,4,1,,,,,,
67,153,7,162.0,154.0,7,19,4,18,11,9,12,6,,,,,,
68,154,7,153.0,162.0,7,19,4,18,11,9,12,6,,,,,,
69,156,8,160.0,,5,7,19,14,9,21,20,15,,,,,,
70,157,8,159.0,118.0,19,8,9,17,7,10,6,3,,,,,,
71,158,7,,,3,4,7,15,17,18,19,21,,,,,,
72,159,8,157.0,118.0,19,8,9,17,7,10,6,3,,,,,,
73,160,8,156.0,,5,7,19,14,9,21,20,15,,,,,,
74,162,7,153.0,154.0,7,19,4,18,11,9,12,6,,,,,,
75,163,7,185.0,,22,19,11,7,8,3,5,4,,,,,,
76,165,7,338.0,,14,7,3,11,19,18,5,13,,,,,,
77,166,8,,,1,2,3,8,9,14,16,19,,,,,,
78,168,7,180.0,,7,4,8,3,22,16,14,21,,,,,,
79,169,7,182.0,,7,4,8,3,22,16,14,21,,,,,,
80,170,7,,,14,17,3,7,4,8,12,22,,,,,,
81,171,7,127.0,,2,5,6,9,13,17,19,21,,,,,,
82,172,8,178.0,,6,21,7,4,14,3,16,17,,,,,,
83,173,8,174.0,,4,5,7,13,9,19,17,22,,,,,,
84,174,8,173.0,,4,5,7,13,9,19,17,22,,,,,,
85,175,8,119.0,,3,4,8,19,11,18,22,21,,,,,,
86,177,8,179.0,,3,4,9,5,10,19,2,21,,,,,,
87,178,8,172.0,,6,21,7,4,14,3,16,17,,,,,,
88,179,8,177.0,,3,4,9,5,10,19,2,21,,,,,,
89,180,7,168.0,,7,4,8,3,22,16,14,21,,,,,,
90,182,7,169.0,,7,4,8,3,22,16,14,21,,,,,,
91,184,10,,,11,14,19,21,17,10,3,8,27.0,24.0,28.0,26.0,25.0,no_preference
92,185,7,163.0,,22,19,11,7,8,3,5,4,,,,,,
93,186,8,,,17,3,11,4,12,19,5,7,,,,,,
94,187,7,,,16,1,11,22,14,20,7,6,,,,,,
95,188,7,,,2,12,18,13,11,6,17,21,,,,,,
96,190,8,,,3,19,5,7,14,1,20,4,,,,,,
97,191,7,,,17,15,9,1,7,19,14,4,,,,,,
98,192,8,,,11,12,19,16,22,4,6,14,,,,,,
99,194,7,,,16,4,7,8,11,13,19,22,,,,,,
100,195,7,,,13,16,19,12,3,7,11,17,,,,,,
101,196,8,378.0,,11,7,17,13,18,19,5,14,,,,,,
102,199,8,472.0,,3,7,12,9,14,15,11,17,,,,,,
103,202,7,204.0,206.0,3,21,16,7,17,18,19,8,,,,,,
104,203,7,,,4,6,7,16,8,3,20,15,,,,,,
105,204,7,202.0,206.0,3,21,16,7,17,18,19,8,,,,,,
106,205,8,316.0,,12,14,9,15,18,20,19,16,,,,,,
107,206,7,202.0,204.0,3,21,16,7,17,18,19,8,,,,,,
108,207,7,208.0,215.0,11,19,16,18,9,10,4,7,,,,,,
109,208,7,207.0,215.0,11,19,16,18,9,10,4,7,,,,,,
110,209,7,219.0,218.0,18,16,2,7,10,4,19,5,,,,,,
111,210,8,,,17,1,14,19,6,11,20,7,,,,,,
112,211,8,216.0,214.0,3,21,6,7,13,15,18,11,,,,,,
113,212,8,217.0,,3,21,6,7,13,15,18,11,,,,,,
114,213,7,,,15,4,8,0,0,0,0,0,,,,,,
115,214,8,211.0,216.0,3,21,6,7,13,15,18,11,,,,,,
116,215,7,207.0,208.0,11,19,16,18,9,10,4,7,,,,,,
117,216,7,211.0,214.0,3,21,6,7,13,15,18,11,,,,,,
118,217,7,212.0,,3,21,6,7,13,15,18,11,,,,,,
119,218,7,219.0,209.0,18,16,2,7,10,4,19,5,,,,,,
120,219,7,209.0,218.0,18,16,2,7,10,4,19,5,,,,,,
121,220,7,223.0,229.0,4,11,3,10,18,19,22,5,,,,,,
122,221,7,224.0,245.0,21,3,7,20,19,17,22,18,,,,,,
123,222,7,234.0,,22,3,8,19,14,7,11,18,,,,,,
124,223,7,220.0,229.0,4,11,3,10,18,19,22,5,,,,,,
125,224,7,221.0,245.0,21,3,7,20,19,17,22,18,,,,,,
126,225,7,228.0,248.0,7,14,18,21,19,5,9,20,,,,,,
127,226,7,230.0,231.0,2,4,13,8,5,16,15,11,,,,,,
128,227,7,237.0,,4,8,16,17,10,19,18,13,,,,,,
129,228,7,225.0,248.0,7,14,18,21,19,5,9,20,,,,,,
130,229,7,220.0,223.0,4,11,3,10,18,19,22,5,,,,,,
131,230,8,231.0,226.0,2,4,13,8,5,16,15,11,,,,,,
132,231,8,230.0,226.0,2,4,13,8,5,16,15,11,,,,,,
133,232,7,240.0,246.0,4,17,18,22,10,7,9,21,,,,,,
134,233,8,236.0,,19,14,3,22,4,20,15,12,,,,,,
135,234,7,222.0,,22,3,8,19,14,7,11,18,,,,,,
136,235,9,,,21,1,12,14,7,19,6,11,29.0,26.0,24.0,30.0,27.0,ordinary
137,236,8,233.0,,19,14,3,22,4,20,15,12,,,,,,
138,237,7,227.0,,4,8,16,17,10,19,18,13,,,,,,
139,239,8,251.0,,16,14,15,8,11,3,20,1,,,,,,
140,240,8,246.0,232.0,4,17,18,22,10,7,9,21,,,,,,
141,241,8,252.0,,7,8,9,10,14,15,17,19,,,,,,
142,242,8,250.0,,3,8,9,15,21,6,7,17,,,,,,
143,243,8,247.0,,1,4,3,19,18,17,21,2,,,,,,
144,244,8,254.0,,1,3,7,19,21,9,4,17,,,,,,
145,245,8,221.0,224.0,21,3,7,20,19,17,22,18,,,,,,
146,246,8,240.0,232.0,4,17,18,22,10,7,9,21,,,,,,
147,247,8,243.0,,1,4,3,19,18,17,21,2,,,,,,
148,248,8,225.0,228.0,7,14,18,21,19,5,9,20,,,,,,
149,250,8,242.0,,3,8,9,15,21,6,7,17,,,,,,
150,251,8,239.0,,16,14,15,8,11,3,20,1,,,,,,
151,252,8,241.0,,7,8,9,10,14,15,17,19,,,,,,
152,253,8,271.0,,4,5,13,19,15,11,1,3,,,,,,
153,254,8,244.0,,1,3,7,19,21,9,4,17,,,,,,
154,255,9,,,22,17,3,15,4,10,14,18,26.0,28.0,25.0,29.0,30.0,ordinary
155,258,10,,,7,14,6,9,19,5,20,12,27.0,24.0,30.0,26.0,31.0,no_preference
156,264,7,,,11,7,18,19,6,21,20,2,,,,,,
157,265,7,376.0,,4,14,3,7,19,6,22,9,,,,,,
158,266,7,,,8,16,7,2,9,18,6,11,,,,,,
159,267,8,502.0,,11,19,3,21,20,15,14,12,,,,,,
160,268,9,269.0,,19,7,11,22,3,13,4,18,0.0,0.0,0.0,0.0,0.0,ordinary
161,269,7,268.0,,19,7,11,22,3,13,4,18,,,,,,
162,270,8,,,4,10,13,16,5,18,0,0,,,,,,
163,271,8,253.0,,4,5,13,19,15,11,1,3,,,,,,
164,273,7,,,9,22,3,18,5,6,15,4,,,,,,
165,274,9,,,2,3,4,16,19,1,8,17,23.0,24.0,30.0,27.0,28.0,no_preference
166,275,7,92.0,,4,7,10,11,14,17,19,21,,,,,,
167,278,10,295.0,,4,10,17,21,7,13,19,18,26.0,30.0,24.0,23.0,31.0,no_preference
168,279,7,,,11,18,4,2,7,9,16,22,,,,,,
169,281,7,,,9,13,17,6,11,12,19,20,,,,,,
170,282,7,,,16,4,8,17,10,11,6,19,,,,,,
171,283,8,290.0,,5,16,13,8,4,9,19,22,,,,,,
172,284,8,,,21,17,12,7,6,19,15,3,,,,,,
173,286,9,,,20,19,16,4,7,2,12,14,24.0,26.0,27.0,23.0,30.0,no_preference
174,287,9,,,7,3,19,16,11,12,9,10,26.0,25.0,24.0,23.0,30.0,no_preference
175,288,8,297.0,,4,20,18,6,12,22,16,2,,,,,,
176,290,8,283.0,,5,16,13,8,4,9,19,22,,,,,,
177,291,8,,,15,9,12,6,14,2,1,19,,,,,,
178,293,8,,,3,15,11,12,20,4,19,22,,,,,,
179,294,7,501.0,,3,5,7,14,17,18,11,13,,,,,,
180,295,10,278.0,,4,10,17,21,7,13,19,18,26.0,30.0,24.0,23.0,31.0,no_preference
181,297,8,288.0,,4,20,18,6,12,22,16,2,,,,,,
182,298,8,,,19,20,21,15,17,16,8,7,,,,,,
183,300,8,,,8,7,16,11,4,21,1,9,,,,,,
184,301,8,,,4,8,9,16,5,15,3,6,,,,,,
185,304,8,309.0,308.0,9,17,10,4,13,5,18,7,,,,,,
186,305,8,310.0,306.0,16,7,9,11,22,8,19,21,,,,,,
187,306,8,305.0,310.0,16,7,9,11,22,8,19,21,,,,,,
188,308,8,304.0,309.0,9,17,10,4,13,5,18,7,,,,,,
189,309,8,304.0,308.0,9,17,10,4,13,5,18,7,,,,,,
190,310,8,305.0,306.0,16,7,9,11,22,8,19,21,,,,,,
191,311,8,,,3,4,11,14,8,7,5,19,,,,,,
192,313,7,,,7,19,14,12,16,15,21,17,,,,,,
193,314,7,351.0,,19,3,5,7,22,4,6,13,,,,,,
194,316,8,205.0,,12,14,9,15,18,20,19,16,,,,,,
195,321,8,322.0,329.0,15,19,14,22,6,8,16,5,,,,,,
196,322,8,321.0,329.0,15,19,14,22,6,8,16,5,,,,,,
197,323,8,324.0,,9,18,20,17,15,8,11,16,,,,,,
198,324,8,323.0,,9,18,20,17,15,8,11,16,,,,,,
199,325,8,326.0,327.0,19,3,17,4,14,7,10,21,,,,,,
200,326,8,327.0,325.0,19,3,17,4,14,7,10,21,,,,,,
201,327,8,326.0,325.0,19,3,17,4,14,7,10,21,,,,,,
202,328,7,,,6,21,14,12,5,1,15,20,,,,,,
203,329,8,321.0,322.0,15,19,14,22,6,8,16,5,,,,,,
204,333,9,,,3,21,10,4,6,16,15,9,26.0,31.0,25.0,23.0,29.0,ordinary
205,334,7,83.0,,3,6,7,11,13,17,19,21,,,,,,
206,335,8,,,12,20,6,19,14,9,7,5,,,,,,
207,336,9,,,0,0,0,0,0,0,0,0,23.0,30.0,24.0,29.0,27.0,no_preference
208,338,7,165.0,,14,7,3,11,19,18,5,13,,,,,,
209,339,7,,,19,7,3,2,18,4,16,5,,,,,,
210,341,7,343.0,,3,9,19,16,20,5,8,11,,,,,,
211,343,7,341.0,,3,9,19,16,20,5,8,11,,,,,,
212,346,9,,,15,20,4,12,22,11,5,17,30.0,23.0,29.0,31.0,28.0,no_preference
213,347,7,,,19,14,12,2,7,22,17,1,,,,,,
214,348,7,,,3,22,4,14,11,7,10,5,,,,,,
215,351,8,314.0,,19,3,5,7,22,4,6,13,,,,,,
216,352,7,,,0,0,0,0,0,0,0,0,,,,,,
217,354,7,355.0,370.0,3,7,11,17,16,19,13,21,,,,,,
218,355,7,354.0,370.0,3,7,11,17,16,19,13,21,,,,,,
219,356,7,,,19,8,3,4,11,12,18,5,,,,,,
220,357,8,362.0,,13,17,16,20,22,21,19,8,,,,,,
221,358,8,366.0,367.0,19,21,20,3,15,7,14,17,,,,,,
222,359,8,364.0,365.0,20,7,12,17,18,9,11,6,,,,,,
223,360,8,361.0,363.0,2,3,20,17,1,14,21,7,,,,,,
224,361,8,360.0,363.0,2,3,20,17,1,14,21,7,,,,,,
225,362,8,357.0,,13,17,16,20,22,21,19,8,,,,,,
226,363,8,360.0,361.0,2,3,20,17,1,14,21,7,,,,,,
227,364,8,365.0,359.0,20,7,12,17,18,9,11,6,,,,,,
228,365,8,364.0,359.0,20,7,12,17,18,9,11,6,,,,,,
229,366,8,367.0,358.0,19,21,20,3,15,7,14,17,,,,,,
230,367,8,366.0,358.0,19,21,20,3,15,7,14,17,,,,,,
231,368,8,369.0,371.0,19,3,7,1,13,10,18,22,,,,,,
232,369,8,368.0,371.0,19,3,7,1,13,10,18,22,,,,,,
233,370,8,354.0,355.0,3,7,11,17,16,19,13,21,,,,,,
234,371,8,368.0,369.0,19,3,7,1,13,10,18,22,,,,,,
235,373,8,,,4,5,7,3,14,17,8,12,,,,,,
236,374,7,,,19,3,11,9,18,16,22,20,,,,,,
237,375,7,,,10,22,11,3,13,16,7,8,,,,,,
238,376,7,265.0,,4,14,3,7,19,6,22,9,,,,,,
239,377,8,,,5,13,21,19,15,14,16,22,,,,,,
240,378,8,196.0,,11,7,17,13,18,19,5,14,,,,,,
241,379,8,380.0,384.0,21,19,17,14,12,6,3,1,,,,,,
242,380,8,384.0,379.0,21,19,17,14,12,6,3,1,,,,,,
243,381,8,392.0,393.0,21,20,4,18,1,6,15,19,,,,,,
244,382,8,395.0,388.0,6,9,18,19,13,14,15,4,,,,,,
245,383,8,386.0,387.0,19,6,12,21,1,9,20,14,,,,,,
246,384,8,380.0,379.0,21,19,17,14,12,6,3,1,,,,,,
247,385,8,391.0,,3,7,11,6,9,18,15,2,,,,,,
248,386,8,387.0,383.0,19,6,12,21,1,9,20,14,,,,,,
249,387,8,386.0,383.0,19,6,12,21,1,9,20,14,,,,,,
250,388,8,382.0,395.0,6,9,18,19,13,14,15,4,,,,,,
251,389,8,394.0,390.0,17,3,19,5,6,9,2,20,,,,,,
252,390,8,389.0,394.0,17,3,19,5,6,9,2,20,,,,,,
253,391,8,385.0,,3,7,11,6,9,18,15,2,,,,,,
254,392,8,381.0,393.0,21,20,4,18,1,6,15,19,,,,,,
255,393,8,381.0,392.0,21,20,4,18,1,6,15,19,,,,,,
256,394,8,389.0,390.0,17,3,19,5,6,9,2,20,,,,,,
257,395,8,382.0,388.0,6,9,18,19,13,14,15,4,,,,,,
258,398,8,,,4,3,7,17,16,18,10,21,,,,,,
259,399,7,,,4,19,14,12,17,18,20,6,,,,,,
260,400,8,,,16,17,3,9,18,4,10,13,,,,,,
261,401,8,,,18,4,11,17,10,21,19,22,,,,,,
262,403,8,,,5,6,7,14,12,1,19,20,,,,,,
263,404,8,,,17,4,22,10,3,0,0,0,,,,,,
264,405,8,,,22,11,9,8,4,21,12,14,,,,,,
265,406,8,,,4,5,11,13,18,9,10,16,,,,,,
266,407,7,,,12,7,19,6,14,17,16,11,,,,,,
267,408,7,,,14,13,20,8,7,4,18,19,,,,,,
268,409,7,,,16,17,21,3,7,12,22,0,,,,,,
269,410,7,,,17,4,3,9,19,8,11,2,,,,,,
270,411,7,,,3,5,8,16,12,15,19,7,,,,,,
271,412,8,,,4,10,17,22,11,18,0,0,,,,,,
272,413,9,,,20,14,11,3,4,7,12,19,30.0,25.0,27.0,28.0,23.0,no_preference
273,415,8,418.0,,22,16,8,11,14,3,19,5,,,,,,
274,416,7,417.0,,19,9,4,14,18,3,6,13,,,,,,
275,417,8,416.0,,19,9,4,14,18,3,6,13,,,,,,
276,418,8,415.0,,22,16,8,11,14,3,19,5,,,,,,
277,419,7,,,7,8,16,3,2,4,13,17,,,,,,
278,420,7,423.0,424.0,7,21,8,15,2,16,3,12,,,,,,
279,421,7,425.0,431.0,3,20,4,2,15,6,18,19,,,,,,
280,422,8,426.0,,3,12,14,4,9,13,21,11,,,,,,
281,423,8,424.0,420.0,7,21,8,15,2,16,3,12,,,,,,
282,424,8,423.0,420.0,7,21,8,15,2,16,3,12,,,,,,
283,425,7,431.0,421.0,3,20,4,2,15,6,18,19,,,,,,
284,426,8,422.0,,3,12,14,4,9,13,21,11,,,,,,
285,427,7,435.0,,20,16,15,19,22,9,12,11,,,,,,
286,428,8,434.0,,17,14,21,9,3,12,8,15,,,,,,
287,431,7,425.0,421.0,3,20,4,2,15,6,18,19,,,,,,
288,433,8,,,11,4,17,19,8,21,15,13,,,,,,
289,434,7,428.0,,17,14,21,9,3,12,8,15,,,,,,
290,435,7,427.0,,20,16,15,19,22,9,12,11,,,,,,
291,443,8,,,3,7,9,17,18,5,8,19,,,,,,
292,444,8,,,21,22,17,11,1,10,3,19,,,,,,
293,448,8,,,11,4,5,10,9,18,3,7,,,,,,
294,449,8,,,14,21,8,19,18,15,2,11,,,,,,
295,450,7,,,22,15,11,13,5,14,3,4,,,,,,
296,451,7,,,16,13,4,2,18,19,0,0,,,,,,
297,453,8,,,16,18,10,19,22,4,5,13,,,,,,
298,454,8,456.0,,13,19,5,4,9,3,10,12,,,,,,
299,456,8,454.0,,13,19,5,4,9,3,10,12,,,,,,
300,457,7,458.0,,13,19,5,4,9,3,10,12,,,,,,
301,458,7,457.0,,13,19,5,4,9,3,10,12,,,,,,
302,462,8,463.0,,9,22,20,19,5,6,15,21,,,,,,
303,463,8,462.0,,9,22,20,19,5,6,15,21,,,,,,
304,464,8,,,4,5,3,18,17,13,11,10,,,,,,
305,465,10,,,6,21,7,19,15,1,4,12,27.0,29.0,26.0,24.0,0.0,no_preference
306,467,8,,,0,0,0,0,0,0,0,0,,,,,,
307,468,8,,,9,22,20,3,21,15,5,19,,,,,,
308,470,7,,,22,11,4,19,13,14,0,0,,,,,,
309,471,10,,,14,1,17,15,3,21,6,12,29.0,30.0,23.0,26.0,24.0,no_preference
310,472,8,199.0,,3,7,12,9,14,15,11,17,,,,,,
311,475,9,,,4,22,3,5,10,20,21,0,31.0,24.0,29.0,23.0,25.0,no_preference
312,476,7,86.0,,7,11,4,3,8,9,10,13,,,,,,
313,480,8,,,22,14,8,7,21,19,17,10,,,,,,
314,483,7,,,19,21,7,11,15,1,22,17,,,,,,
315,484,8,485.0,,22,19,21,9,15,6,3,17,,,,,,
316,485,8,484.0,,22,19,21,9,15,6,3,17,,,,,,
317,486,7,,,19,21,20,7,3,17,13,14,,,,,,
318,488,7,,,16,4,17,7,19,18,3,21,,,,,,
319,489,7,505.0,492.0,4,16,12,7,10,15,13,2,,,,,,
320,491,7,495.0,496.0,16,4,2,12,7,10,15,13,,,,,,
321,492,7,489.0,505.0,4,16,12,7,10,15,13,2,,,,,,
322,493,7,506.0,499.0,16,4,2,12,7,10,15,13,,,,,,
323,495,7,496.0,491.0,16,4,2,12,7,10,15,13,,,,,,
324,496,7,495.0,491.0,16,4,2,12,7,10,15,13,,,,,,
325,497,7,498.0,500.0,16,4,2,12,7,10,15,13,,,,,,
326,498,7,497.0,500.0,16,4,2,12,7,10,15,13,,,,,,
327,499,7,493.0,506.0,16,4,2,12,7,10,15,13,,,,,,
328,500,7,497.0,498.0,16,4,2,12,17,10,15,13,,,,,,
329,501,7,294.0,,3,5,7,14,17,18,11,13,,,,,,
330,502,8,267.0,,11,19,3,21,20,15,14,12,,,,,,
331,503,8,,,4,16,14,8,9,5,17,12,,,,,,
332,505,7,489.0,492.0,4,16,12,7,10,15,13,2,,,,,,
333,506,7,493.0,499.0,16,4,2,12,7,10,15,13,,,,,,
